permit_type,permit_subtype,permit_street_address,permit_lot_size,contractor,contractor_address,submitted_date,issued_date,inspector
Building,Rennovation,88531 Stone Fort Suite 558,1.17 acres,Quinn Inc,7398 Young Meadow Falls,1547251200,1549152000,Brian Ochoa
Building,New Construction,26232 Caitlin Loop,0.91 acres,Reese Ltd,2506 Johnson Garden Run,1547251200,1547769600,Edward Woods
Building,New Construction,1164 Kimberly Turnpike,1.0 acres,Quinn Inc,7398 Young Meadow Falls,1547337600,1548115200,Stephanie White
Maintenance,Mechanical,1625 Roberts Locks,1.65 acres,Quinn Inc,7398 Young Meadow Falls,1547337600,1548028800,Brian Ochoa
Building,New Construction,7251 Richard Shore,1.44 acres,Quinn Inc,7398 Young Meadow Falls,1547337600,1548028800,Brian Ochoa
Maintenance,Mechanical,302 Mathis Point,1.01 acres,Bray Ltd,6147 Amanda Center Pines,1547337600,1548028800,Brian Ochoa
Building,New Construction,3274 Michael Bypass,1.09 acres,Mercado and Sons,8410 Katie Heights Flats,1547337600,1548115200,Lauren Ayala
Building,Rennovation,497 White Junction Apt. 859,1.28 acres,Lawson Group,5562 Deleon Isle Expressway,1547337600,1549152000,Brian Ochoa
Building,Rennovation,967 Velazquez Islands Suite 989,0.44 acres,Roth-Garcia,5547 Schroeder Glens Courts,1547424000,1549324800,Brian Ochoa
Building,Rennovation,29157 Elizabeth Shoals Apt. 855,1.2 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1547510400,1549756800,Stephanie White
Maintenance,Electrical,7959 Carrillo Keys,0.91 acres,Blair-Williams,2618 Marshall Summit Passage,1547596800,1548374400,Stephanie White
Maintenance,Electrical,98486 Little Parks Apt. 331,0.71 acres,Blair-Williams,2618 Marshall Summit Passage,1547596800,1548115200,Brian Ochoa
Maintenance,Electrical,0788 Williams Lane Suite 457,1.68 acres,Mercado and Sons,8410 Katie Heights Flats,1547683200,1548633600,Stephanie White
Maintenance,Mechanical,92701 Molly Trail,1.19 acres,Lawson Group,5562 Deleon Isle Expressway,1547683200,1548288000,Brian Ochoa
Building,New Construction,211 Rachel Coves Apt. 173,0.81 acres,Lawson Group,5562 Deleon Isle Expressway,1547769600,1548201600,Brian Ochoa
Maintenance,Mechanical,9778 Cathy Shores Apt. 567,1.14 acres,Blair-Williams,2618 Marshall Summit Passage,1547769600,1548374400,Brian Ochoa
Maintenance,Electrical,493 Clayton Mountain Apt. 781,0.83 acres,Bray Ltd,6147 Amanda Center Pines,1547856000,1548374400,Lauren Ayala
Building,New Construction,8201 Silva Shoal,2.1 acres,Lucero-Rich,6977 Ward Glens Dale,1547856000,1548806400,Lauren Ayala
Building,Rennovation,7408 Rodriguez Greens,1.59 acres,Lucero-Rich,6977 Ward Glens Dale,1547942400,1550016000,Lauren Ayala
Building,Rennovation,793 Melissa Plains Apt. 659,1.36 acres,Blair-Williams,2618 Marshall Summit Passage,1547942400,1549843200,Edward Woods
Maintenance,Mechanical,5550 Katelyn Loaf Suite 553,1.68 acres,Lawson Group,5562 Deleon Isle Expressway,1547942400,1548720000,Lauren Ayala
Building,New Construction,94962 Porter Stravenue Apt. 589,2.2 acres,Blair-Williams,2618 Marshall Summit Passage,1547942400,1549152000,Stephanie White
Maintenance,Plumbing,0790 William Fords Apt. 763,0.6 acres,Mercado and Sons,8410 Katie Heights Flats,1547942400,1548633600,Edward Woods
Maintenance,Electrical,7809 Craig Glens,1.21 acres,Reese Ltd,2506 Johnson Garden Run,1547942400,1548720000,Lauren Ayala
Maintenance,Electrical,650 Steven Mountains Apt. 598,1.48 acres,Blair-Williams,2618 Marshall Summit Passage,1548028800,1548720000,Brian Ochoa
Maintenance,Mechanical,97206 Diana Path Suite 197,0.83 acres,Blair-Williams,2618 Marshall Summit Passage,1548115200,1548979200,Stephanie White
Building,Rennovation,3904 Douglas Wall Apt. 896,1.55 acres,Bray Ltd,6147 Amanda Center Pines,1548115200,1550188800,Edward Woods
Building,New Construction,335 Tara Meadow,0.71 acres,Reese Ltd,2506 Johnson Garden Run,1548115200,1548720000,Lauren Ayala
Building,Rennovation,7029 Brown Lights Apt. 075,0.96 acres,Quinn Inc,7398 Young Meadow Falls,1548115200,1549756800,Lauren Ayala
Building,Rennovation,017 Gutierrez Causeway,0.83 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548201600,1550102400,Edward Woods
Maintenance,Mechanical,05398 Elizabeth Ridge,0.68 acres,Quinn Inc,7398 Young Meadow Falls,1548201600,1548720000,Lauren Ayala
Maintenance,Electrical,13018 Barron Shoals Suite 427,0.62 acres,Mercado and Sons,8410 Katie Heights Flats,1548288000,1548892800,Edward Woods
Building,Rennovation,424 Jessica Corners Apt. 663,0.49 acres,Mercado and Sons,8410 Katie Heights Flats,1548460800,1550361600,Lauren Ayala
Maintenance,Electrical,42520 Beck Via,1.46 acres,Reese Ltd,2506 Johnson Garden Run,1548460800,1549324800,Edward Woods
Building,New Construction,1841 Hunt Landing,0.96 acres,Blair-Williams,2618 Marshall Summit Passage,1548460800,1548979200,Edward Woods
Maintenance,Plumbing,697 Karen Motorway,0.87 acres,Quinn Inc,7398 Young Meadow Falls,1548460800,1549152000,Lauren Ayala
Building,New Construction,93594 Sims Grove,1.0 acres,Quinn Inc,7398 Young Meadow Falls,1548460800,1548892800,Brian Ochoa
Building,Rennovation,324 Benitez Stream,1.69 acres,Reese Ltd,2506 Johnson Garden Run,1548460800,1550534400,Lauren Ayala
Maintenance,Mechanical,896 Austin Divide,0.67 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548460800,1549065600,Lauren Ayala
Building,New Construction,80712 Douglas Creek,0.83 acres,Lawson Group,5562 Deleon Isle Expressway,1548460800,1548979200,Brian Ochoa
Maintenance,Plumbing,44739 Rodriguez Viaduct Suite 377,2.11 acres,Quinn Inc,7398 Young Meadow Falls,1548460800,1549324800,Edward Woods
Maintenance,Plumbing,30720 John Shore,1.26 acres,Mercado and Sons,8410 Katie Heights Flats,1548547200,1549152000,Lauren Ayala
Maintenance,Plumbing,2229 Knight Inlet Apt. 407,0.87 acres,Mercado and Sons,8410 Katie Heights Flats,1548547200,1549065600,Lauren Ayala
Maintenance,Electrical,617 David Cliffs,0.81 acres,Lucero-Rich,6977 Ward Glens Dale,1548547200,1549324800,Stephanie White
Building,Rennovation,94676 Cody Underpass Apt. 333,1.42 acres,Lawson Group,5562 Deleon Isle Expressway,1548547200,1550361600,Brian Ochoa
Maintenance,Mechanical,0245 Thomas Keys,0.4 acres,Reese Ltd,2506 Johnson Garden Run,1548547200,1549152000,Edward Woods
Maintenance,Electrical,362 Hansen Causeway,0.96 acres,Bray Ltd,6147 Amanda Center Pines,1548633600,1549497600,Stephanie White
Building,New Construction,157 Diane Rest Suite 820,1.13 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1548633600,1549411200,Lauren Ayala
Building,Rennovation,214 Pamela Centers,1.75 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548633600,1550707200,Brian Ochoa
Maintenance,Electrical,981 Donovan Parks Suite 936,1.17 acres,Lucero-Rich,6977 Ward Glens Dale,1548633600,1549411200,Edward Woods
Maintenance,Mechanical,16833 Steven Springs Suite 224,1.26 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548633600,1549411200,Edward Woods
Maintenance,Plumbing,7299 Pierce Vista,0.85 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1548633600,1549497600,Stephanie White
Building,Rennovation,23133 Brandon Dale Suite 553,0.92 acres,Reese Ltd,2506 Johnson Garden Run,1548720000,1550793600,Brian Ochoa
Maintenance,Mechanical,6934 Powell Bridge,1.65 acres,Lawson Group,5562 Deleon Isle Expressway,1548720000,1549756800,Stephanie White
Building,New Construction,95881 Ferguson Tunnel,0.65 acres,Quinn Inc,7398 Young Meadow Falls,1548806400,1549152000,Brian Ochoa
Building,New Construction,41918 James Mountains,1.16 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1548806400,1549497600,Brian Ochoa
Building,New Construction,200 Pena Extension,1.67 acres,Reese Ltd,2506 Johnson Garden Run,1548806400,1549497600,Brian Ochoa
Building,Rennovation,852 Miller Glens,1.36 acres,Mercado and Sons,8410 Katie Heights Flats,1548806400,1551139200,Stephanie White
Maintenance,Mechanical,61966 Rhonda Lock,0.96 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548806400,1549324800,Brian Ochoa
Building,New Construction,8672 David Rapid Suite 736,0.79 acres,Reese Ltd,2506 Johnson Garden Run,1548806400,1549324800,Edward Woods
Building,Rennovation,2731 Lewis Island,0.9 acres,Lucero-Rich,6977 Ward Glens Dale,1548806400,1550620800,Edward Woods
Building,Rennovation,09957 David Prairie,1.65 acres,Blair-Williams,2618 Marshall Summit Passage,1548892800,1551052800,Stephanie White
Building,Rennovation,958 Johnson Harbor,1.15 acres,Roth-Garcia,5547 Schroeder Glens Courts,1548892800,1550880000,Edward Woods
Building,New Construction,126 Roberson Field Suite 652,0.85 acres,Blair-Williams,2618 Marshall Summit Passage,1548892800,1549756800,Stephanie White
Building,Rennovation,43816 Barnes Station,0.96 acres,Quinn Inc,7398 Young Meadow Falls,1548892800,1550707200,Lauren Ayala
Maintenance,Plumbing,96069 Smith Key Apt. 407,0.89 acres,Bray Ltd,6147 Amanda Center Pines,1548892800,1549324800,Brian Ochoa
Maintenance,Mechanical,31584 Joanna Place Suite 408,1.38 acres,Mercado and Sons,8410 Katie Heights Flats,1548979200,1549929600,Edward Woods
Building,Rennovation,7716 Compton Inlet,1.3 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1549065600,1551312000,Stephanie White
Building,Rennovation,897 Donald Cliffs,0.98 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1549152000,1551484800,Stephanie White
Maintenance,Plumbing,31091 Gary Turnpike,1.5 acres,Bray Ltd,6147 Amanda Center Pines,1549152000,1550102400,Stephanie White
Maintenance,Electrical,6312 Elizabeth Radial,1.43 acres,Reese Ltd,2506 Johnson Garden Run,1549152000,1550016000,Edward Woods
Building,New Construction,9782 Lee Mills Apt. 746,0.92 acres,Quinn Inc,7398 Young Meadow Falls,1549152000,1549584000,Edward Woods
Maintenance,Electrical,868 Clayton Landing Apt. 258,0.58 acres,Roth-Garcia,5547 Schroeder Glens Courts,1549238400,1550102400,Stephanie White
Maintenance,Electrical,9474 Knight Loop Apt. 188,1.19 acres,Lawson Group,5562 Deleon Isle Expressway,1549238400,1550188800,Stephanie White
Maintenance,Plumbing,2805 Fowler Corner Suite 094,0.29 acres,Lawson Group,5562 Deleon Isle Expressway,1549238400,1549584000,Brian Ochoa
Maintenance,Electrical,32773 Glover Course,1.44 acres,Reese Ltd,2506 Johnson Garden Run,1549238400,1550275200,Stephanie White
Maintenance,Plumbing,758 Morales Islands,1.34 acres,Mercado and Sons,8410 Katie Heights Flats,1549238400,1549929600,Lauren Ayala
Maintenance,Plumbing,12544 Gonzalez Locks,0.7 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1549238400,1549929600,Stephanie White
Building,Rennovation,24397 Larry Spring,1.27 acres,Reese Ltd,2506 Johnson Garden Run,1549238400,1551398400,Lauren Ayala
Maintenance,Electrical,4853 Collins Vista Apt. 433,0.5 acres,Lawson Group,5562 Deleon Isle Expressway,1549411200,1549929600,Brian Ochoa
Maintenance,Mechanical,560 Luke Motorway,0.63 acres,Quinn Inc,7398 Young Meadow Falls,1549411200,1549929600,Brian Ochoa
Maintenance,Plumbing,6618 Lisa Park,1.31 acres,Quinn Inc,7398 Young Meadow Falls,1549411200,1550275200,Stephanie White
Maintenance,Mechanical,9956 Gross Spring,2.18 acres,Reese Ltd,2506 Johnson Garden Run,1549497600,1550880000,Stephanie White
Maintenance,Mechanical,8719 Brown Curve,1.73 acres,Quinn Inc,7398 Young Meadow Falls,1549497600,1550275200,Lauren Ayala
Building,New Construction,51439 Miller Route Suite 933,1.56 acres,Reese Ltd,2506 Johnson Garden Run,1549497600,1550188800,Brian Ochoa
Maintenance,Electrical,536 Frederick Greens Apt. 815,1.28 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1549497600,1550188800,Brian Ochoa
Building,New Construction,756 West Overpass Suite 953,0.9 acres,Reese Ltd,2506 Johnson Garden Run,1549497600,1550361600,Stephanie White
Maintenance,Mechanical,164 Sanders Mews,1.22 acres,Roth-Garcia,5547 Schroeder Glens Courts,1549584000,1550620800,Stephanie White
Maintenance,Mechanical,2720 Reed Centers Suite 098,0.36 acres,Reese Ltd,2506 Johnson Garden Run,1549584000,1550361600,Lauren Ayala
Maintenance,Mechanical,3538 Carl Rapids Apt. 031,0.94 acres,Mercado and Sons,8410 Katie Heights Flats,1549584000,1550448000,Stephanie White
Building,New Construction,877 Nichols Route,1.34 acres,Bray Ltd,6147 Amanda Center Pines,1549584000,1550361600,Edward Woods
Maintenance,Mechanical,656 Velasquez Fords Apt. 926,0.74 acres,Lawson Group,5562 Deleon Isle Expressway,1549670400,1550361600,Brian Ochoa
Maintenance,Plumbing,36248 Amanda Vista Suite 305,0.94 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1549670400,1550102400,Lauren Ayala
Maintenance,Plumbing,2622 Rubio Mission,1.07 acres,Blair-Williams,2618 Marshall Summit Passage,1549756800,1550275200,Brian Ochoa
Maintenance,Plumbing,990 Russo Valleys,1.02 acres,Reese Ltd,2506 Johnson Garden Run,1549756800,1550620800,Edward Woods
Maintenance,Plumbing,673 King Mountain,1.44 acres,Reese Ltd,2506 Johnson Garden Run,1549756800,1550448000,Lauren Ayala
Maintenance,Plumbing,960 Barbara Throughway,1.28 acres,Bray Ltd,6147 Amanda Center Pines,1549929600,1550448000,Brian Ochoa
Building,Rennovation,5740 Graves Mountains,1.4 acres,Blair-Williams,2618 Marshall Summit Passage,1549929600,1551830400,Edward Woods
Building,Rennovation,805 Jodi Extensions,1.16 acres,Bray Ltd,6147 Amanda Center Pines,1550016000,1551916800,Brian Ochoa
Maintenance,Electrical,539 Kayla Junction,1.28 acres,Reese Ltd,2506 Johnson Garden Run,1550016000,1550707200,Brian Ochoa
Building,Rennovation,437 Desiree Alley,1.76 acres,Bray Ltd,6147 Amanda Center Pines,1550016000,1551744000,Edward Woods
Building,Rennovation,99083 Jones Rest,1.06 acres,Lucero-Rich,6977 Ward Glens Dale,1550016000,1551744000,Brian Ochoa
Maintenance,Plumbing,292 Hayes Greens,1.29 acres,Roth-Garcia,5547 Schroeder Glens Courts,1550102400,1550534400,Brian Ochoa
Maintenance,Plumbing,0747 Howard Bypass,0.78 acres,Reese Ltd,2506 Johnson Garden Run,1550102400,1550620800,Brian Ochoa
Maintenance,Plumbing,0379 Frank Dam,0.56 acres,Bray Ltd,6147 Amanda Center Pines,1550102400,1550534400,Edward Woods
Maintenance,Plumbing,290 Wright Ridge Apt. 438,0.88 acres,Blair-Williams,2618 Marshall Summit Passage,1550102400,1550880000,Stephanie White
Maintenance,Electrical,19631 Cruz Station,1.87 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1550188800,1550880000,Lauren Ayala
Building,Rennovation,354 Miller Freeway Suite 045,1.27 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1550188800,1552435200,Edward Woods
Building,Rennovation,091 Moon Village Apt. 492,1.03 acres,Lucero-Rich,6977 Ward Glens Dale,1550188800,1552262400,Edward Woods
Building,Rennovation,43251 Garza Via Suite 175,0.87 acres,Mercado and Sons,8410 Katie Heights Flats,1550188800,1551744000,Edward Woods
Maintenance,Mechanical,876 Brittany Lake,0.71 acres,Lucero-Rich,6977 Ward Glens Dale,1550275200,1550793600,Brian Ochoa
Maintenance,Electrical,6324 Jessica Villages,1.04 acres,Reese Ltd,2506 Johnson Garden Run,1550275200,1550966400,Brian Ochoa
Building,New Construction,9570 Chen Vista,0.46 acres,Mercado and Sons,8410 Katie Heights Flats,1550275200,1550793600,Edward Woods
Maintenance,Plumbing,62294 James Valleys,1.04 acres,Bray Ltd,6147 Amanda Center Pines,1550361600,1551312000,Stephanie White
Building,New Construction,875 Mcclain Mission,0.96 acres,Lawson Group,5562 Deleon Isle Expressway,1550361600,1550880000,Edward Woods
Building,Rennovation,438 Johnson Mews Apt. 390,1.21 acres,Blair-Williams,2618 Marshall Summit Passage,1550448000,1552348800,Brian Ochoa
Maintenance,Mechanical,3252 Curtis Mountain Apt. 856,0.98 acres,Lucero-Rich,6977 Ward Glens Dale,1550534400,1551052800,Brian Ochoa
Maintenance,Mechanical,03250 Allison Square Suite 416,1.06 acres,Reese Ltd,2506 Johnson Garden Run,1550534400,1551225600,Brian Ochoa
Maintenance,Mechanical,9278 David Views Apt. 839,1.1 acres,Roth-Garcia,5547 Schroeder Glens Courts,1550534400,1551744000,Stephanie White
Maintenance,Mechanical,95608 Cook Turnpike Apt. 402,0.9 acres,Lucero-Rich,6977 Ward Glens Dale,1550620800,1551139200,Brian Ochoa
Maintenance,Electrical,46462 Thompson Walks,0.67 acres,Quinn Inc,7398 Young Meadow Falls,1550620800,1551225600,Lauren Ayala
Building,New Construction,683 Jerry Villages,1.3 acres,Mercado and Sons,8410 Katie Heights Flats,1550620800,1551657600,Stephanie White
Maintenance,Plumbing,186 Haley Wall,2.56 acres,Reese Ltd,2506 Johnson Garden Run,1550620800,1551484800,Edward Woods
Building,New Construction,07871 Logan Villages Suite 611,1.16 acres,Lawson Group,5562 Deleon Isle Expressway,1550707200,1551484800,Lauren Ayala
Building,Rennovation,19827 Casey Street,1.0 acres,Mercado and Sons,8410 Katie Heights Flats,1550707200,1552608000,Lauren Ayala
Building,New Construction,817 Taylor Plains Suite 101,0.89 acres,Quinn Inc,7398 Young Meadow Falls,1550707200,1551312000,Lauren Ayala
Maintenance,Plumbing,650 Gonzalez Islands Apt. 472,1.08 acres,Reese Ltd,2506 Johnson Garden Run,1550707200,1551225600,Brian Ochoa
Maintenance,Electrical,9600 Wang Row Apt. 569,0.76 acres,Quinn Inc,7398 Young Meadow Falls,1550793600,1551312000,Lauren Ayala
Maintenance,Mechanical,4719 Rogers Spur Apt. 273,0.92 acres,Quinn Inc,7398 Young Meadow Falls,1550793600,1551398400,Edward Woods
Maintenance,Plumbing,81799 Cantrell Motorway Suite 137,1.85 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1550793600,1551744000,Stephanie White
Building,Rennovation,1404 Gonzalez Burg,0.7 acres,Reese Ltd,2506 Johnson Garden Run,1550793600,1552867200,Stephanie White
Maintenance,Electrical,3935 Sanchez Parks,0.72 acres,Lawson Group,5562 Deleon Isle Expressway,1550880000,1551657600,Stephanie White
Building,New Construction,45978 Huang Radial,0.79 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1550880000,1551571200,Edward Woods
Maintenance,Plumbing,130 Robinson Orchard,1.35 acres,Roth-Garcia,5547 Schroeder Glens Courts,1550880000,1551571200,Lauren Ayala
Maintenance,Electrical,8322 Hodge Corner,1.2 acres,Blair-Williams,2618 Marshall Summit Passage,1550880000,1551657600,Edward Woods
Maintenance,Electrical,124 Valenzuela Common Apt. 035,0.58 acres,Mercado and Sons,8410 Katie Heights Flats,1551052800,1551744000,Stephanie White
Maintenance,Plumbing,350 Burns Road Suite 958,0.71 acres,Mercado and Sons,8410 Katie Heights Flats,1551139200,1551484800,Lauren Ayala
Maintenance,Electrical,5426 Hawkins Flats,1.7 acres,Reese Ltd,2506 Johnson Garden Run,1551139200,1551916800,Edward Woods
Maintenance,Mechanical,902 Danielle Summit,1.89 acres,Reese Ltd,2506 Johnson Garden Run,1551139200,1551744000,Brian Ochoa
Maintenance,Plumbing,9256 Morrison Lights,0.79 acres,Reese Ltd,2506 Johnson Garden Run,1551139200,1551484800,Brian Ochoa
Maintenance,Plumbing,95718 Forbes Groves Suite 413,1.38 acres,Reese Ltd,2506 Johnson Garden Run,1551139200,1552089600,Stephanie White
Building,New Construction,673 David Cliff,0.67 acres,Blair-Williams,2618 Marshall Summit Passage,1551139200,1551830400,Stephanie White
Building,Rennovation,1492 Miller Drive Suite 018,0.65 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551225600,1553299200,Stephanie White
Building,Rennovation,29603 Pamela Dale Suite 249,0.94 acres,Quinn Inc,7398 Young Meadow Falls,1551225600,1553040000,Brian Ochoa
Maintenance,Electrical,8575 Robert Plain,0.9 acres,Reese Ltd,2506 Johnson Garden Run,1551312000,1551744000,Brian Ochoa
Maintenance,Electrical,429 Mcdowell Passage Apt. 118,1.69 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551312000,1551830400,Brian Ochoa
Maintenance,Plumbing,55102 Madison Courts,0.92 acres,Lucero-Rich,6977 Ward Glens Dale,1551312000,1552003200,Stephanie White
Building,New Construction,01644 Regina Square Apt. 830,1.4 acres,Blair-Williams,2618 Marshall Summit Passage,1551312000,1552089600,Edward Woods
Building,Rennovation,70641 William Tunnel Apt. 194,2.42 acres,Lucero-Rich,6977 Ward Glens Dale,1551312000,1553299200,Lauren Ayala
Maintenance,Mechanical,095 Richard Station,1.36 acres,Lawson Group,5562 Deleon Isle Expressway,1551398400,1552348800,Stephanie White
Building,Rennovation,4095 Melissa Station,1.86 acres,Reese Ltd,2506 Johnson Garden Run,1551398400,1553904000,Stephanie White
Maintenance,Electrical,906 Peterson Summit Apt. 141,1.31 acres,Lawson Group,5562 Deleon Isle Expressway,1551398400,1552435200,Stephanie White
Building,New Construction,632 Daniel Mews,0.78 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551398400,1552003200,Edward Woods
Maintenance,Plumbing,9362 Diaz Stream,0.76 acres,Reese Ltd,2506 Johnson Garden Run,1551398400,1552262400,Stephanie White
Maintenance,Plumbing,5643 Cox Lake,0.76 acres,Reese Ltd,2506 Johnson Garden Run,1551398400,1552003200,Lauren Ayala
Maintenance,Mechanical,8777 Alexander Cliffs,1.76 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1551484800,1552176000,Brian Ochoa
Maintenance,Plumbing,2733 Keith Ports Apt. 101,0.77 acres,Quinn Inc,7398 Young Meadow Falls,1551484800,1551830400,Brian Ochoa
Building,Rennovation,447 Tamara Squares Suite 468,0.95 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1551484800,1553385600,Lauren Ayala
Maintenance,Mechanical,305 Benson Freeway Suite 957,0.4 acres,Bray Ltd,6147 Amanda Center Pines,1551484800,1552089600,Edward Woods
Building,New Construction,2048 Johnson Course,1.44 acres,Quinn Inc,7398 Young Meadow Falls,1551571200,1552521600,Stephanie White
Building,New Construction,215 Tracy Island,2.16 acres,Bray Ltd,6147 Amanda Center Pines,1551571200,1552435200,Lauren Ayala
Building,New Construction,191 Kelly Square,0.59 acres,Lawson Group,5562 Deleon Isle Expressway,1551571200,1552435200,Stephanie White
